ISBN001',Introduction to SQL',John Snmith',Database',11,Y'
ISBN002',Data Structures aNd Algorithms',Jane Doe',Computer Science',10,Y'
ISBN003',History of Art',Michael Johnson',Art',15,Y'
ISBN004',The Great Gatsby',Scott Fitzgerald',Fiction',10,N'
ISBN005',chemistry basics',Emily Brown',Chemistry',10,N'
ISBN006',math basics',David parson',Math',8,Y'
ISBN007',Physics Basics',Galib',Physics',10,Y'
ISBN008',Biology Basics',Ranjan Sha',Science',7,Y'
ISBN009',Introduction to C',Mike',Computer Science',3,Y'
ISBN0010',Introduction to Data Mining',Jhonson',Data science',10,N'
ISBN0011',Introduction to Python',Nike',Python',1,Y'
ISBN0012',Introduction to DAMT',Sky',Probability',10,Y'
ISBN0013',Introduction to OperatiNg SYstems',Lilly',Computer Science',13,Y'
ISBN0014',Introduction to ML',Ginger',Mechine Learning',10,Y'
ISBN0015',Introduction to WDM',Harry',Web Development',15,N'
ISBN0016',Introduction to Software ENgiNeeriNg',Williams',Software engineering',20,Y'
ISBN0017',Introduction to Data Structures',Jhon',Computer Science',10,Y'
ISBN0018',Introduction to Hadoop',Rossie',Computer Science',10,Y'
ISBN0019',Introduction to OOPs',Will',Computer Science',10,N'
ISBN0020',Introduction to Java',Venessa',Computer Science',4,Y'
ISBN0021',Introduction to DS',Sharon',Computer Science',5,Y'
ISBN0022',Introduction to Data ScieNce',Alex',Data science',10,Y'
ISBN0023',Discrete Structures',Linchon',Math',15,N'
ISBN0024',TheorY of ComputatioN',Bidan',Computer Science',10,Y'
ISBN0025',Hardware sYstems',Trumph',Electronics',19,Y'
ISBN0026',Cloud computing',Rishi',Cloud',10,Y'
ISBN0027',Introduction to devops',Noor',Cloud',13,Y'
ISBN0028',Introduction to Ansible',Farnaz',Cloud',10,N'
ISBN0029',Introduction to Terraform',Krishna',Cloud',26,Y'
ISBN0030',Introduction to Azure',Max',Cloud',22,Y'
